"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
"22-43-j25-24",4,"43","Schottentor - Neuwaldegg",0,"C00808","FFFFFF"
"22-43-j25-3",4,"43","Schottentor - Neuwaldegg",0,"C00808","FFFFFF"
"22-43-j25-31",4,"43","Schottentor - Neuwaldegg",0,"C00808","FFFFFF"
"22-44-j25-1",4,"44","Schottentor - Maroltingergasse",0,"C00808","FFFFFF"
"22-44-j25-2",4,"44","Schottentor - Johann-Nepomuk-Berger-Platz",0,"C00808","FFFFFF"
"22-44-j25-24",4,"44","Schottentor - Johann-Nepomuk-Berger-Platz",0,"C00808","FFFFFF"
"22-44-j25-31",4,"44","Schottentor - Johann-Nepomuk-Berger-Platz",0,"C00808","FFFFFF"
"22-46-j25-1",4,"46","Ring/Volkstheater - Joachimsthalerplatz",0,"C00808","FFFFFF"
"22-46-j25-2",4,"46","Ring/Volkstheater - Hütteldorf, Bujattigasse Baustellenfahrplan",0,"C00808","FFFFFF"
"22-46-j25-24",4,"46","Ring/Volkstheater - Joachimsthalerplatz",0,"C00808","FFFFFF"
"22-46-j25-3",4,"46","Hütteldorf, Bujattigasse - Joachimsthalerplatz",0,"C00808","FFFFFF"
"22-46-j25-31",4,"46","Ring/Volkstheater - Joachimsthalerplatz",0,"C00808","FFFFFF"
"22-49-j25-1",4,"49","Ring/Volkstheater - Hütteldorf, Bujattigasse",0,"C00808","FFFFFF"
"22-49-j25-2",4,"49","Ring/Volkstheater - Hütteldorf, Bujattigasse",0,"C00808","FFFFFF"
"22-52-j25-1",4,"52","Westbahnhof - Baumgarten",0,"C00808","FFFFFF"
"22-52-j25-2",4,"52","Ring/Volkstheater - Baumgarten Baustellenfahrplan",0,"C00808","FFFFFF"
"22-52-j25-3",4,"52","Ring/Volkstheater - Baumgarten",0,"C00808","FFFFFF"
"22-52-j25-4",4,"52","Ring/Volkstheater - Hütteldorf, Bujattigasse Baustellenfahrplan",0,"C00808","FFFFFF"
"22-52-j25-6",4,"52","Ring/Volkstheater - Hütteldorf, Bujattigasse Baustellenfahrplan",0,"C00808","FFFFFF"
"22-5-j25-1",4,"5","Praterstern - Westbahnhof",0,"C00808","FFFFFF"
"22-5-j25-2",4,"5","Praterstern - Westbahnhof",0,"C00808","FFFFFF"
"22-5-j25-24",4,"5","Praterstern - Westbahnhof",0,"C00808","FFFFFF"
"22-5-j25-3",4,"5","Praterstern - Westbahnhof",0,"C00808","FFFFFF"
"22-5-j25-31",4,"5","Praterstern - Westbahnhof",0,"C00808","FFFFFF"
"22-60-j25-1",4,"60","Westbahnhof - Rodaun",0,"C00808","FFFFFF"
"22-60-j25-2",4,"60","Westbahnhof - Rodaun",0,"C00808","FFFFFF"
"22-62-j25-1",4,"62","Oper/Karlsplatz - Lainz, Wolkersbergenstraße",0,"C00808","FFFFFF"
"22-62-j25-24",4,"62","Oper/Karlsplatz - Lainz, Wolkersbergenstraße",0,"C00808","FFFFFF"
"22-62-j25-31",4,"62","Oper/Karlsplatz - Lainz, Wolkersbergenstraße",0,"C00808","FFFFFF"
"22-6-j25-1",4,"6","Urban-Loritz-Platz - Geiereckstraße",0,"C00808","FFFFFF"
"22-6-j25-2",4,"6","Burggasse-Stadthalle - Geiereckstraße",0,"C00808","FFFFFF"
"22-6-j25-24",4,"6","Urban-Loritz-Platz - Geiereckstraße",0,"C00808","FFFFFF"
"22-6-j25-3",4,"6","Urban-Loritz-Platz - Geiereckstraße",0,"C00808","FFFFFF"
"22-6-j25-31",4,"6","Urban-Loritz-Platz - Geiereckstraße",0,"C00808","FFFFFF"
"22-71-j25-1",4,"71","Schottenring - Kaiserebersdorf",0,"C00808","FFFFFF"
"22-71-j25-2",4,"71","Schwarzenbergplatz - Kaiserebersdorf",0,"C00808","FFFFFF"
"22-71-j25-24",4,"71","Schwarzenbergplatz - Kaiserebersdorf",0,"C00808","FFFFFF"
"22-71-j25-3",4,"71","Schwarzenbergplatz - Kaiserebersdorf",0,"C00808","FFFFFF"
"22-71-j25-31",4,"71","Schwarzenbergplatz - Kaiserebersdorf",0,"C00808","FFFFFF"
"22-71-j25-4",4,"71","Schottenring- Kaiserebersdorf",0,"C00808","FFFFFF"
"22-71-j25-5",4,"71","Schwarzenbergplatz - Kaiserebersdorf",0,"C00808","FFFFFF"
"22-71-j25-6",4,"71","Schwarzenbergplatz - Kaiserebersdorf",0,"C00808","FFFFFF"
"22-71-j25-7",4,"71","Schwarzenbergplatz - Kaiserebersdorf",0,"C00808","FFFFFF"
"22-71-j25-8",4,"71","Schwarzenbergplatz - Kaiserebersdorf",0,"C00808","FFFFFF"
"22-71-j25-90",4,"71","Schottenring - Kaiserebersdorf",0,"C00808","FFFFFF"
"22-9-j25-1",4,"9","Gersthof, Wallrißstraße - Westbahnhof",0,"C00808","FFFFFF"
"22-9-j25-2",4,"9","Gersthof, Wallrißstraße - Westbahnhof",0,"C00808","FFFFFF"
"22-9-j25-24",4,"9","Gersthof, Wallrißstraße - Westbahnhof",0,"C00808","FFFFFF"
"22-9-j25-3",4,"9","Gersthof, Wallrißstraße - Westbahnhof",0,"C00808","FFFFFF"
"22-9-j25-31",4,"9","Gersthof, Wallrißstraße - Westbahnhof",0,"C00808","FFFFFF"
"22-D-j25-1",4,"D","Absberggasse - Nußdorf, Beethovengang",0,"C00808","FFFFFF"
"22-D-j25-2",4,"D","Absberggasse - Nußdorf, Beethovengang",0,"C00808","FFFFFF"
"22-D-j25-24",4,"D","Absberggasse - Nußdorf, Beethovengang",0,"C00808","FFFFFF"
"22-D-j25-3",4,"D","Absberggasse - Nußdorf, Beethovengang",0,"C00808","FFFFFF"
"22-D-j25-31",4,"D","Absberggasse - Nußdorf, Beethovengang",0,"C00808","FFFFFF"
"22-D-j25-4",4,"D","Absberggasse - Nußdorf, Beethovengang",0,"C00808","FFFFFF"
"22-D-j25-5",4,"D","Absberggasse - Nußdorf, Beethovengang",0,"C00808","FFFFFF"
"22-D-j25-6",4,"D","Absberggasse - Nußdorf, Beethovengang",0,"C00808","FFFFFF"
"22-D-j25-7",4,"D","Absberggasse - Nußdorf, Beethovengang",0,"C00808","FFFFFF"
"22-D-j25-8",4,"D","Absberggasse - Nußdorf, Beethovengang",0,"C00808","FFFFFF"
"22-D-j25-9",4,"D","Absberggasse - Nußdorf, Beethovengang",0,"C00808","FFFFFF"
"22-D-j25-90",4,"D","Absberggasse - Nußdorf, Beethovengang",0,"C00808","FFFFFF"
"22-E1-j25-1",4,"E1","Reumannplatz - Quartier Belvedere Schienenersatzverkehr",0,"FFFFFF","000000"
"22-O-j25-2",4,"O","Raxstraße, Rudolfshügelgasse - Bruno-Marek-Allee",0,"C00808","FFFFFF"
"22-O-j25-24",4,"O","Raxstraße, Rudolfshügelgasse - Praterstern",0,"C00808","FFFFFF"
"22-O-j25-3",4,"O","Raxstraße, Rudolfshügelgasse - Praterstern",0,"C00808","FFFFFF"
"22-O-j25-31",4,"O","Raxstraße, Rudolfshügelgasse - Praterstern",0,"C00808","FFFFFF"
